train_id,last_maintenance_time,min_rest_hours,maintenance_type,status
T01,2025-09-07 14:30:00,8,minor,resting
T02,2025-09-06 09:15:00,12,minor,ready
T03,2025-09-05 16:45:00,24,scheduled,ready
T04,2025-09-07 22:10:00,6,minor,resting
T05,2025-09-04 11:20:00,36,scheduled,ready
T06,2025-09-07 18:35:00,10,minor,resting
T07,2025-09-03 08:40:00,48,unscheduled,ready
T08,2025-09-06 13:25:00,8,minor,ready
T09,2025-09-05 20:50:00,18,scheduled,ready
T10,2025-09-07 16:15:00,6,minor,resting
T11,2025-09-04 07:30:00,12,minor,ready
T12,2025-09-06 21:40:00,24,scheduled,resting
T13,2025-09-02 15:10:00,8,minor,overdue
T14,2025-09-07 11:55:00,14,minor,resting
T15,2025-09-05 19:20:00,30,scheduled,ready
T16,2025-09-07 08:45:00,6,minor,ready
T17,2025-09-04 14:35:00,16,minor,ready
T18,2025-09-06 17:25:00,12,minor,ready
T19,2025-09-03 10:15:00,42,unscheduled,ready
T20,2025-09-07 19:50:00,8,minor,resting
T21,2025-09-05 12:40:00,20,scheduled,ready
T22,2025-09-06 23:30:00,10,minor,resting
T23,2025-09-04 16:20:00,6,minor,ready
T24,2025-09-07 13:15:00,14,minor,resting
T25,2025-09-02 09:30:00,24,scheduled,overdue
T01,2025-09-06 07:45:00,12,minor,ready
T02,2025-09-05 14:20:00,28,scheduled,ready
T03,2025-09-07 20:35:00,8,minor,resting
T04,2025-09-04 18:10:00,18,scheduled,ready
T05,2025-09-06 11:55:00,10,minor,ready
T06,2025-09-03 22:40:00,36,scheduled,ready
T07,2025-09-07 15:25:00,6,minor,resting
T08,2025-09-05 08:50:00,14,minor,ready
T09,2025-09-04 19:35:00,26,scheduled,ready
T10,2025-09-06 16:20:00,8,minor,ready
T11,2025-09-07 12:45:00,12,minor,resting
T12,2025-09-03 13:30:00,48,unscheduled,ready
T13,2025-09-05 21:15:00,16,minor,ready
T14,2025-09-06 10:40:00,22,scheduled,ready
T15,2025-09-07 17:55:00,6,minor,resting
T16,2025-09-04 20:25:00,10,minor,ready
T17,2025-09-05 15:10:00,18,scheduled,ready
T18,2025-09-06 08:35:00,8,minor,ready
T19,2025-09-07 14:20:00,14,minor,resting
T20,2025-09-02 11:45:00,12,minor,overdue
T21,2025-09-04 17:30:00,24,scheduled,ready
T22,2025-09-06 19:50:00,6,minor,ready
T23,2025-09-05 23:15:00,32,scheduled,ready
T24,2025-09-07 09:40:00,8,minor,resting
T25,2025-09-03 16:25:00,44,unscheduled,ready
T01,2025-09-06 12:10:00,16,minor,ready
T02,2025-09-07 21:35:00,10,minor,resting
T03,2025-09-04 14:50:00,28,scheduled,ready
T04,2025-09-05 18:45:00,12,minor,ready
T05,2025-09-07 10:20:00,6,minor,resting
T06,2025-09-06 15:55:00,20,scheduled,ready
T07,2025-09-02 08:30:00,14,minor,overdue
T08,2025-09-05 11:40:00,8,minor,ready
T09,2025-09-07 19:25:00,18,scheduled,resting
T10,2025-09-04 22:15:00,26,scheduled,ready
T11,2025-09-06 09:50:00,12,minor,ready
T12,2025-09-07 16:35:00,8,minor,resting
T13,2025-09-03 13:20:00,40,unscheduled,ready
T14,2025-09-05 17:45:00,14,minor,ready
T15,2025-09-06 20:10:00,10,minor,ready
T16,2025-09-07 11:30:00,6,minor,resting
T17,2025-09-04 15:25:00,22,scheduled,ready
T18,2025-09-02 19:40:00,16,minor,overdue
T19,2025-09-06 07:55:00,24,scheduled,ready
T20,2025-09-07 18:20:00,8,minor,resting
T21,2025-09-05 13:45:00,12,minor,ready
T22,2025-09-04 21:30:00,30,scheduled,ready
T23,2025-09-07 14:15:00,14,minor,resting
T24,2025-09-06 17:50:00,6,minor,ready
T25,2025-09-03 10:35:00,46,unscheduled,ready
T01,2025-09-02 16:20:00,18,scheduled,overdue
T02,2025-09-07 12:45:00,10,minor,resting
T03,2025-09-05 09:30:00,8,minor,ready
T04,2025-09-06 23:15:00,20,scheduled,resting
T05,2025-09-04 19:50:00,12,minor,ready
