train_id,timestamp,sensor_type,fault,severity,description
T01,2025-07-06 09:15:23,brake,no,low,brake system normal operation
T01,2025-08-02 09:15:23,brake,no,low,brake system normal operation
T01,2025-08-31 09:15:23,brake,no,low,brake system normal operation
T02,2025-06-15 09:16:45,door,no,low,door sensors functioning normally
T02,2025-06-29 09:16:45,door,no,low,door sensors functioning normally
T02,2025-07-31 09:16:45,door,no,low,door sensors functioning normally
T03,2025-08-15 09:17:12,HVAC,yes,medium,HVAC unit temperature slightly elevated
T03,2025-06-08 09:17:12,HVAC,yes,medium,HVAC unit temperature slightly elevated
T03,2025-06-23 09:17:12,HVAC,yes,medium,HVAC unit temperature slightly elevated
T04,2025-06-21 09:18:33,signalling,no,low,signal transmission clear
T04,2025-07-26 09:18:33,signalling,no,low,signal transmission clear
T04,2025-09-05 09:18:33,signalling,no,low,signal transmission clear
T05,2025-08-05 09:19:47,power,no,low,power supply stable
T05,2025-05-31 09:19:47,power,no,low,power supply stable
T05,2025-07-03 09:19:47,power,no,low,power supply stable
T06,2025-06-12 09:20:18,brake,yes,critical,brake pressure drop detected
T06,2025-08-18 09:20:18,brake,yes,critical,brake pressure drop detected
T06,2025-07-29 09:20:18,brake,yes,critical,brake pressure drop detected
T07,2025-08-26 09:21:29,door,no,low,door mechanism operating smoothly
T07,2025-06-26 09:21:29,door,no,low,door mechanism operating smoothly
T07,2025-06-05 09:21:29,door,no,low,door mechanism operating smoothly
T08,2025-07-09 09:22:41,HVAC,no,low,climate control within parameters
T08,2025-07-23 09:22:41,HVAC,no,low,climate control within parameters
T08,2025-08-21 09:22:41,HVAC,no,low,climate control within parameters
T09,2025-08-08 09:23:55,signalling,yes,high,signal interference detected
T09,2025-05-26 09:23:55,signalling,yes,high,signal interference detected
T09,2025-07-01 09:23:55,signalling,yes,high,signal interference detected
T10,2025-06-18 09:24:17,power,yes,medium,voltage fluctuation observed
T10,2025-08-12 09:24:17,power,yes,medium,voltage fluctuation observed
T10,2025-07-21 09:24:17,power,yes,medium,voltage fluctuation observed
T11,2025-09-02 09:25:38,brake,no,low,brake pads wear within limits
T11,2025-06-23 09:25:38,brake,no,low,brake pads wear within limits
T11,2025-06-02 09:25:38,brake,no,low,brake pads wear within limits
T12,2025-07-13 09:26:52,door,yes,low,door sensor calibration drift
T12,2025-07-27 09:26:52,door,yes,low,door sensor calibration drift
T12,2025-08-23 09:26:52,door,yes,low,door sensor calibration drift
T13,2025-07-31 09:27:14,HVAC,no,low,air filtration system normal
T13,2025-06-10 09:27:14,HVAC,no,low,air filtration system normal
T13,2025-07-06 09:27:14,HVAC,no,low,air filtration system normal
T14,2025-05-23 09:28:26,signalling,no,low,communication systems operational
T14,2025-08-15 09:28:26,signalling,no,low,communication systems operational
T14,2025-07-25 09:28:26,signalling,no,low,communication systems operational
T15,2025-08-29 09:29:43,power,no,low,electrical systems nominal
T15,2025-07-03 09:29:43,power,no,low,electrical systems nominal
T15,2025-05-29 09:29:43,power,no,low,electrical systems nominal
T16,2025-07-16 09:30:55,brake,yes,high,brake fluid level low
T16,2025-08-04 09:30:55,brake,yes,high,brake fluid level low
T16,2025-09-08 09:30:55,brake,yes,high,brake fluid level low
T17,2025-08-02 09:31:18,door,no,low,door lock mechanisms secure
T17,2025-06-15 09:31:18,door,no,low,door lock mechanisms secure
T17,2025-06-26 09:31:18,door,no,low,door lock mechanisms secure
T18,2025-06-08 09:32:27,HVAC,yes,critical,HVAC compressor failure
T18,2025-08-10 09:32:27,HVAC,yes,critical,HVAC compressor failure
T18,2025-07-23 09:32:27,HVAC,yes,critical,HVAC compressor failure
T19,2025-09-05 09:33:44,signalling,no,low,antenna systems functioning
T19,2025-06-29 09:33:44,signalling,no,low,antenna systems functioning
T19,2025-06-12 09:33:44,signalling,no,low,antenna systems functioning
T20,2025-06-23 09:34:56,power,no,low,battery charge levels normal
T20,2025-07-29 09:34:56,power,no,low,battery charge levels normal
T20,2025-08-31 09:34:56,power,no,low,battery charge levels normal
T21,2025-08-06 09:35:12,brake,no,low,brake disc temperature normal
T21,2025-06-05 09:35:12,brake,no,low,brake disc temperature normal
T21,2025-07-09 09:35:12,brake,no,low,brake disc temperature normal
T22,2025-05-31 09:36:33,door,yes,medium,door stuck partially open
T22,2025-08-08 09:36:33,door,yes,medium,door stuck partially open
T22,2025-07-21 09:36:33,door,yes,medium,door stuck partially open
T23,2025-08-26 09:37:47,HVAC,no,low,ventilation fans operating
T23,2025-07-06 09:37:47,HVAC,no,low,ventilation fans operating
T23,2025-05-26 09:37:47,HVAC,no,low,ventilation fans operating
T24,2025-07-11 09:38:58,signalling,yes,medium,GPS signal weak
T24,2025-07-31 09:38:58,signalling,yes,medium,GPS signal weak
T24,2025-09-02 09:38:58,signalling,yes,medium,GPS signal weak
T25,2025-07-26 09:40:15,power,yes,high,alternator output irregular
T25,2025-05-21 09:40:15,power,yes,high,alternator output irregular
T25,2025-07-01 09:40:15,power,yes,high,alternator output irregular
T01,2025-07-06 09:41:22,door,no,low,door safety sensors active
T01,2025-08-02 09:41:22,door,no,low,door safety sensors active
T01,2025-08-31 09:41:22,door,no,low,door safety sensors active
T02,2025-06-15 09:42:38,HVAC,no,low,cabin temperature stable
T02,2025-06-29 09:42:38,HVAC,no,low,cabin temperature stable
T02,2025-07-31 09:42:38,HVAC,no,low,cabin temperature stable
T03,2025-08-15 09:43:51,signalling,no,low,radio communication clear
T03,2025-06-08 09:43:51,signalling,no,low,radio communication clear
T03,2025-06-23 09:43:51,signalling,no,low,radio communication clear
T04,2025-06-21 09:44:17,power,no,low,main power bus normal
T04,2025-07-26 09:44:17,power,no,low,main power bus normal
T04,2025-09-05 09:44:17,power,no,low,main power bus normal
